Date,Description,Amount,Status,Location,
31-10-25 14:00,Salary Deposit,8600,Approved,New York, USA
01-11-25 09:20,Medical Fee,330,Approved,Sydney, Australia
01-11-25 14:45,High-Value Transfer,1900000,Flagged,Dubai, UAE
02-11-25 10:00,Freelance Invoice,2400,Approved,Berlin, Germany
02-11-25 15:15,International Payment,550,Approved,Tokyo, Japan
03-11-25 09:45,Retail Transaction,140,Approved,New York, USA
03-11-25 14:30,Crypto Exchange,28000,Approved,Singapore,
04-11-25 09:00,High-Value Transfer,2200000,Flagged,Mexico City, Mexico
04-11-25 14:20,Online Purchase,112,Approved,London, UK
05-11-25 09:50,Service Payment,580,Approved,Paris, France
05-11-25 15:00,Salary Deposit,8700,Approved,New York, USA
06-11-25 09:25,Medical Fee,305,Approved,Sydney, Australia
06-11-25 14:40,Freelance Invoice,2150,Approved,Berlin, Germany
07-11-25 10:00,International Payment,470,Approved,Tokyo, Japan
07-11-25 15:10,Retail Transaction,105,Approved,New York, USA
08-11-25 09:30,High-Value Transfer,1300000,Flagged,Toronto, Canada
08-11-25 14:55,Online Purchase,98,Approved,New York, USA
09-11-25 10:15,Crypto Exchange,20000,Approved,Singapore,
09-11-25 15:30,High-Value Transfer,850000,Flagged,Dubai, UAE
10-11-25 09:40,Service Payment,510,Approved,Paris, France
10-11-25 14:05,Salary Deposit,8900,Approved,New York, USA
11-11-25 09:00,Medical Fee,295,Approved,Sydney, Australia
11-11-25 14:25,Freelance Invoice,1950,Approved,Berlin, Germany
12-11-25 10:00,International Payment,410,Approved,Tokyo, Japan
12-11-25 15:15,Retail Transaction,128,Approved,New York, USA
13-11-25 09:35,High-Value Transfer,2500000,Flagged,Toronto, Canada
13-11-25 14:50,Online Purchase,130,Approved,London, UK
14-11-25 09:10,Service Payment,620,Approved,Paris, France
14-11-25 14:40,Salary Deposit,9000,Approved,New York, USA
15-11-25 09:55,Medical Fee,340,Approved,Sydney, Australia
15-11-25 15:05,Freelance Invoice,2250,Approved,Berlin, Germany
16-11-25 09:20,International Payment,500,Approved,Tokyo, Japan
16-11-25 14:30,Retail Transaction,118,Approved,New York, USA
17-11-25 08:45,High-Value Transfer,1700000,Flagged,Mexico City, Mexico
17-11-25 13:55,Online Purchase,115,Approved,London, UK
18-11-25 09:05,Service Payment,480,Approved,Paris, France
18-11-25 14:15,Salary Deposit,8800,Approved,New York, USA
19-11-25 09:30,Medical Fee,285,Approved,Sydney, Australia
19-11-25 14:50,Freelance Invoice,1850,Approved,Berlin, Germany
20-11-25 09:00,International Payment,390,Approved,Tokyo, Japan
20-11-25 14:20,Retail Transaction,95,Approved,New York, USA
21-11-25 08:30,High-Value Transfer,1250000,Flagged,Toronto, Canada
21-11-25 13:40,Online Purchase,105,Approved,London, UK
22-11-25 09:50,Service Payment,530,Approved,Paris, France
22-11-25 15:00,Salary Deposit,9100,Approved,New York, USA
23-11-25 09:25,Medical Fee,325,Approved,Sydney, Australia
23-11-25 14:40,Freelance Invoice,2100,Approved,Berlin, Germany
24-11-25 08:50,International Payment,460,Approved,Tokyo, Japan
24-11-25 13:30,Retail Transaction,130,Approved,New York, USA
25-11-25 09:00,High-Value Transfer,950000,Flagged,Dubai, UAE
25-11-25 14:10,Online Purchase,122,Approved,London, UK
26-11-25 09:20,Service Payment,570,Approved,Paris, France
26-11-25 14:50,Salary Deposit,9200,Approved,New York, USA
27-11-25 10:00,Medical Fee,350,Approved,Sydney, Australia
27-11-25 15:15,Freelance Invoice,2350,Approved,Berlin, Germany
28-11-25 09:30,International Payment,510,Approved,Tokyo, Japan
28-11-25 14:40,Retail Transaction,155,Approved,New York, USA
29-11-25 09:50,High-Value Transfer,2000000,Flagged,Mexico City, Mexico
29-11-25 15:00,Online Purchase,140,Approved,London, UK
30-11-25 09:10,Service Payment,600,Approved,Paris, France
30-11-25 14:20,Salary Deposit,9300,Approved,New York, USA
01-12-25 08:30,Medical Fee,360,Approved,Sydney, Australia
01-12-25 13:40,Freelance Invoice,2500,Approved,Berlin, Germany
02-12-25 09:50,International Payment,580,Approved,Tokyo, Japan
02-12-25 14:05,Retail Transaction,160,Approved,New York, USA
03-12-25 09:15,High-Value Transfer,1850000,Flagged,Toronto, Canada
03-12-25 14:30,Online Purchase,135,Approved,London, UK
04-12-25 09:40,Service Payment,650,Approved,Paris, France
04-12-25 15:00,Salary Deposit,9400,Approved,New York, USA
05-12-25 09:20,Medical Fee,375,Approved,Sydney, Australia
05-12-25 14:40,Freelance Invoice,2600,Approved,Berlin, Germany
06-12-25 09:50,International Payment,610,Approved,Tokyo, Japan
06-12-25 15:15,Retail Transaction,170,Approved,New York, USA
07-12-25 09:00,High-Value Transfer,1400000,Flagged,Mexico City, Mexico
07-12-25 14:20,Online Purchase,150,Approved,London, UK
08-12-25 09:30,Service Payment,700,Approved,Paris, France
08-12-25 14:45,Salary Deposit,9500,Approved,New York, USA
09-12-25 09:55,Medical Fee,380,Approved,Sydney, Australia
09-12-25 15:10,Freelance Invoice,2700,Approved,Berlin, Germany
10-12-25 09:20,International Payment,650,Approved,Tokyo, Japan
10-12-25 14:35,Retail Transaction,180,Approved,New York, USA
11-12-25 08:50,High-Value Transfer,1950000,Flagged,Toronto, Canada
11-12-25 14:15,Online Purchase,160,Approved,London, UK
12-12-25 09:25,Service Payment,720,Approved,Paris, France
12-12-25 14:50,Salary Deposit,9600,Approved,New York, USA
13-12-25 10:05,Medical Fee,390,Approved,Sydney, Australia
13-12-25 15:20,Freelance Invoice,2800,Approved,Berlin, Germany
14-12-25 09:35,International Payment,680,Approved,Tokyo, Japan
14-12-25 14:50,Retail Transaction,190,Approved,New York, USA
15-12-25 09:00,High-Value Transfer,2050000,Flagged,Mexico City, Mexico
